NO,QTY,JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA,TOTAL
259,7,SILVER BRACELETS,BSTR 577,0,0,46,18,7.50,347.00,47.59,333.12
260,5,SILVER BRACELETS,BSTR 577,0,0,29,55,8.00,265.00,50.88,254.40
261,2,SILVER BRACELETS,BSTR 577,0,0,36,40,8.50,110.00,52.80,105.60
262,2,SILVER BRACELETS,BCHK 1041,0,0,18,19,8.00,221.00,106.08,212.16
263,2,SILVER BRACELETS,BCHK 1041,0,0,35,71,8.50,231.00,110.88,221.76
264,2,SILVER BRACELETS,BCHK 1041,0,0,33,67,9.00,245.00,117.60,235.20
265,6,SILVER BRACELETS,BSTR 097-S,0,46,4,68,7.50,406.00,102.67,616.02
266,3,SILVER BRACELETS,BSTR 097-S,0,46,37,29,8.00,217.00,106.51,319.53
267,6,SILVER BRACELETS,BCFK 155,0,0,7,90,8.50,915.00,146.40,878.40
268,1,SILVER BRACELETS,BCFK 155,0,0,34,74,9.00,162.00,155.52,155.52
269,8,SILVER BRACELETS,BCFK 560,0,0,12,95,8.00,487.00,58.44,467.52
270,1,SILVER BRACELETS,BCHK 1040,0,0,18,60,7.50,105.00,100.80,100.80
271,1,SILVER BRACELETS,BCHK 1040,0,0,37,37,8.00,110.00,105.60,105.60
272,2,SILVER BRACELETS,BFTN 126,0,0,12,42,8.00,205.00,98.40,196.80
273,3,SILVER BRACELETS,BFTN 126,0,0,3,94,8.50,319.00,102.08,306.24
274,2,SILVER BRACELETS,BSTR 379,0,0,47,50,7.50,162.00,77.76,155.52
275,4,SILVER BRACELETS,BSTR 379,0,0,43,35,8.00,343.00,82.32,329.28
276,2,SILVER BRACELETS,BSTR 379,0,0,47,34,8.50,182.00,87.36,174.72
277,3,SILVER BRACELETS,BSTR 845-S,0,50,15,59,-,166.00,91.60,274.80
278,2,SILVER BRACELETS,BSTR 845-S,0,50,26,80,8.00,117.00,94.64,189.28
279,2,SILVER BRACELETS,BSTR 845-S,0,50,10,39,8.00,111.00,94.64,189.28
280,6,SILVER BRACELETS,BCBP 68,0,0,38,72,7.50,289.00,46.24,277.44
281,5,SILVER BRACELETS,BCBP 68,0,0,28,86,8.00,254.00,48.77,243.84
282,4,SILVER BRACELETS,BCBP 68,0,0,17,61,8.50,218.00,52.32,209.28
283,1,SILVER BRACELETS,BSTR 5704-S,0,33,40,31,7.00,39.00,79.81,79.81
284,1,SILVER BRACELETS,BSTR 5704-S,0,33,41,41,7.00,39.00,73.86,73.86
285,1,SILVER BRACELETS,BSTR 5704-S,0,33,19,41,7.50,40.00,73.86,73.86
286,1,SILVER BRACELETS,BSTR 5703,0,0,4,87,7.00,39.00,79.69,79.69
