JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA
SILVER BRACELETS,BSFK 850-G,0.9,0,20,78.276,8,64,130.46
SILVER BRACELETS,BSTR 711-G,1.3,0,3,104.238,8,91,173.73
SILVER BRACELETS,BSTR 711-G,1.3,0,4,107.118,8.5,96,178.53
SILVER BRACELETS,BSFB 614-G,2.2,0,2,162.384,8,152,270.64
SILVER BRACELETS,BSFB 614-G,2.2,0,4,168.72,8.5,163,281.2
SILVER BRACELETS,BTP 154-S,0,5,4,96.048,8,271,160.08
SILVER BRACELETS,BTP 154-S,0,5,20,99.414,8.5,424,165.69
SILVER BRACELETS,BSRK 560,0,0,15,24.192,7,126,40.32
SILVER BRACELETS,BSRK 560,0,0,2,24.576,7.5,128,40.96
SILVER BRACELETS,BSRK 560,0,0,19,25.458,7.5,221,42.43
SILVER BRACELETS,BSRK 560,0,0,4,27.072,8,94,45.12
SILVER NECKLECES,NSRK 501,0,0,4,41.874,18,727,69.79
SILVER NECKLECES,NSRK 501,0,0,7,46.596,20,809,77.66
SILVER BRACELETS,BSAN 1845,0,0,12,56.16,8,195,93.6
SILVER BRACELETS,BSAN 1845,0,0,17,58.944,8.5,307,98.24
SILVER BRACELETS,BSTR 468-S,0,12,6,36.612,7,102,61.02
SILVER BRACELETS,BSTR 468-S,0,12,12,36.612,7,137,61.02
SILVER BRACELETS,BSTR 468-S,0,12,11,38.154,7.5,331,63.59
SILVER BRACELETS,BSTR 468-S,0,12,15,38.154,7.5,73,63.59
SILVER BRACELETS,BSTR 468-S,0,12,7,39.408,8,39,65.68
SILVER BRACELETS,BSTR 468-S,0,12,19,39.408,8,39,65.68
SILVER BRACELETS,BSTR 815-S,0,15,5,44.496,7,47,74.16
SILVER BRACELETS,BSTR 815-S,0,15,11,44.496,7,92,74.16
SILVER BRACELETS,BSTR 815-S,0,15,2,45.396,7.5,243,75.66
SILVER BRACELETS,BSTR 815-S,0,15,11,45.396,7.5,194,75.66
SILVER BRACELETS,BSER 125-S,0,12,6,54.378,7.5,128,90.63
SILVER BRACELETS,BSER 125-S,0,12,19,54.378,7.5,65,90.63
SILVER BRACELETS,BSER 125-S,0,12,9,56.682,8,67,94.47
